Input provided to the model,Whether the prediction is correct (true/false),Expected if condition,Predicted if condition,Prediction score (0-100)
"def get_single_param_type_from_schema(param_schema: Dict[str, Any]) -> str:
    
    [IF_MASK]
        types = {schema.get(""type"") for schema in param_schema[""anyOf""] if schema.get(""type"")}
        if ""null"" in types:
            types.remove(""null"")
        if types:
            return next(iter(types))
        return ""string""
    return param_schema.get(""type"", ""string"")",false,"    if ""anyOf"" in param_schema:","ĠĠĠ Ġif Ġnot Ġisinstance ( self , Ġ"" name '): name '): type '): name '): name '): name '): name '): name '): name '): name '): name '): name '): name '): name '): name '): name '): name '): name '): name",100.0
"def start(self):
        
        try:
            self.reset_trace()
            self.current_trace[""start_time""] = datetime.now()
            self._active = True
            self._monkey_patch()

            [IF_MASK]
                loop = asyncio.get_event_loop()
                self._save_task = loop.create_task(self._periodic_save())

            logger.info(""Tracing started"")
        except Exception as e:
            logger.error(f""Error starting tracer: {e}"")
            self.on_error(e, context=""start"")
            raise",false,            if self.save_interval:,"ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġself ._ is _ name : ( self . get _ id ): ): ( self . get _ id , Ġ' id '): '): '): '): '): '): '): '): '): '): '): '):",100.0
"def generate_audio_from_phonemes(phonemes: str, voice: str = ""af_bella""):
    
    response = requests.post(
        json={""phonemes"": phonemes, ""voice"": voice},
        headers={""Accept"": ""audio/wav""}
    )
    [IF_MASK]
        print(f""Error: {response.text}"")
        return None
    return response.content",false,    if response.status_code != 200:,ĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ path ):,100.0
"def _build_conversation_context(self) -> str:
        
        context_parts = []

        # Include recent messages (last 5 for now)
        recent_messages = (
            self.state.messages[-5:]
            if len(self.state.messages) > 5
            else self.state.messages
        )

        for msg in recent_messages:
            [IF_MASK]
                role_label = ""User"" if msg.role == ""user"" else ""Assistant""
                context_parts.append(f""{role_label}: {msg.content}"")

        return (
            ""\n"".join(context_parts)
            if context_parts
            else ""This is the start of our conversation.""
        )",false,"            if msg.role != ""system"":","ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġself . is _ name : ( self . get _ name , Ġ"" name '): ):",100.0
"def to_api_params(self) -> Dict[str, JsonValue]:
        
        params: Dict[str, JsonValue] = {
            ""includeResolvedCases"": cast(JsonValue, self.include_resolved_cases),
            ""includeCommunications"": cast(JsonValue, self.include_communications),
            ""language"": cast(JsonValue, self.language),
        }

        [IF_MASK]
            params[""caseIdList""] = cast(JsonValue, self.case_id_list)
        if self.display_id:
            params[""displayId""] = cast(JsonValue, self.display_id)
        if self.after_time:
            params[""afterTime""] = cast(JsonValue, self.after_time)
        if self.before_time:
            params[""beforeTime""] = cast(JsonValue, self.before_time)
        if self.max_results:
            params[""maxResults""] = cast(JsonValue, self.max_results)
        if self.next_token:
            params[""nextToken""] = cast(JsonValue, self.next_token)

        return params",false,        if self.case_id_list:,ĠĠĠĠĠĠĠ Ġif Ġself . is _ id : ( self . is _ id ): ):,100.0
"def interpreter_feedback(self, output: str) -> str:
        
        [IF_MASK]
            raise ValueError(""No output to interpret."")
        return f",false,        if not output:,"ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ id , Ġ' user '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '):",100.0
"def auto_discover_processors():
    
    # get processors directory path
    processors_path = Path(__file__).parent.parent / ""processors""

    # iterate over all subdirectories in processors directory
    for _, name, _ in pkgutil.iter_modules([str(processors_path)]):
        # if it is a directory and contains processor.py
        processor_file = processors_path / name / ""processor.py""
        [IF_MASK]
            module_path = f""lpm_kernel.file_data.processors.{name}.processor""
            try:
                importlib.import_module(module_path)
            except ImportError as e:
                print(f""Failed to load processor module {module_path}: {e}"")",false,        if processor_file.exists():,ĠĠĠĠĠĠĠ Ġif Ġnot Ġos . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path .,100.0
"def download_youtube_video(video_url, output_path):
    
    # video_url, output_path = info
    try:
        [IF_MASK]
            os.makedirs(os.path.dirname(output_path), exist_ok=True)
        # download command
        command = ['yt-dlp', '-f', 'bestvideo[ext=mp4]+bestaudio[ext=m4a]/best[ext=mp4]', '--merge-output-format',
               'mp4', '--output', output_path , video_url]
        # subprocess.run
        result = subprocess.run(command, capture_output=True, text=True, encoding='utf-8')

        if result.returncode == 0:
            print('Download {:s} successfully!'.format(video_url))
        else:
            print(""Fail to download {:s}, error info:\n{:s}"".format(video_url, result.stderr))
    except Exception as e:
        print(f""error: {e}"")",false,        if not os.path.exists(os.path.dirname(output_path)):,ĠĠĠĠĠĠĠ Ġif Ġnot Ġos . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path .,100.0
"def sub_device_state(
        self, did: str, handler: Callable[[str, MIoTDeviceState, Any], None],
        handler_ctx: Any = None
    ) -> bool:
        
        [IF_MASK]
            raise MIoTClientError(f'did not exist, {did}')
        self._sub_device_state[did] = MipsDeviceState(
            did=did, handler=handler, handler_ctx=handler_ctx)
        _LOGGER.debug('client sub device state, %s', did)
        return True",false,        if did not in self._device_list_cache:,"ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self , Ġ' id '): '): '): '): ( self . is _ id '): ): '): '):",100.0
"def generate_audio_from_phonemes(phonemes: str, voice: str = ""af_bella"") -> Optional[bytes]:
    
    response = requests.post(
        json={""phonemes"": phonemes, ""voice"": voice},
        headers={""Accept"": ""audio/wav""}
    )
    
    print(f""Response status: {response.status_code}"")
    print(f""Response headers: {dict(response.headers)}"")
    print(f""Response content type: {response.headers.get('Content-Type')}"")
    print(f""Response length: {len(response.content)} bytes"")
    
    [IF_MASK]
        print(f""Error response: {response.text}"")
        return None
        
    if not response.content:
        print(""Error: Empty response content"")
        return None
        
    return response.content",false,    if response.status_code != 200:,"ĠĠĠ Ġif Ġnot Ġisinstance ( x , Ġ"" x '): path '): 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1",100.0
"def _setup_user_dir(self):
        
        [IF_MASK]
            arg.split('=')[0] for arg in self.options.arguments
        ]:
            # For all browsers, use a temporary directory
            temp_dir = self._temp_directory_manager.create_temp_dir()
            self.options.arguments.append(f'--user-data-dir={temp_dir.name}')",false,        if '--user-data-dir' not in [,ĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ name : ( self . name ): ): 1 ): 1 ): 1 ): 1 ): 1 ): 1 . name ): 1 ): 1 . name ): 1 . name ): 1 . name ): 1 . name ): 1 .,100.0
"def __post_init__(
        self,
    ) -> ""BaseSecurity"":  # dataclasses uses __post_init__ instead of model_validator
        
        valid_in_values = {
            ""apiKey"": [""header"", ""query"", ""cookie""],
            ""http"": [""bearer"", ""basic""],
            ""oauth2"": [""bearer""],
            ""openIdConnect"": [""bearer""],
            ""mutualTLS"": [""tls""],
            ""unsupported"": [""unsupported""],
        }
        [IF_MASK]
            raise ValueError(f""Invalid in_value '{self.in_value}' for type '{self.type}'"")
        return self",false,        if self.in_value not in valid_in_values[self.type]:,ĠĠĠĠĠĠĠ Ġif Ġself . is _ name : ( value ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ):,100.0
"def __call__(
      self, query_sequence: str, chain_polymer_type: str
  ) -> tuple[msa.Msa, MsaErrors]:
    
    [IF_MASK]
      raise ValueError(
          f'EmptyMsaProvider of type {self._chain_polymer_type} called with '
          f'sequence of {chain_polymer_type=}, {query_sequence=}.'
      )
    return (
        msa.Msa.from_empty(
            query_sequence=query_sequence,
            chain_poly_type=self._chain_polymer_type,
        ),
        (),
    )",false,    if chain_polymer_type != self._chain_polymer_type:,"ĠĠĠ Ġif Ġnot Ġself ._ is _ name : ( self . is _ name , Ġ' id '): ): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '):",100.0
"def interpreter_feedback(self, output: str) -> str:
        
        [IF_MASK]
            return f""Web search failed: {output}""
        return f""Web search result:\n{output}""",false,        if self.execution_failure_check(output):,"ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ id , Ġ' text '): '): '):",100.0
"def initialize_cache(self, num_gpu_blocks: int, num_cpu_blocks: int) -> None:
        

        # NOTE: We log here to avoid multiple logs when number of workers is
        # greater than one. We could log in the engine, but not all executors
        # have GPUs.
        logger.info(""# GPU blocks: %d, # CPU blocks: %d"", num_gpu_blocks, num_cpu_blocks)

        self.cache_config.num_gpu_blocks = num_gpu_blocks
        self.cache_config.num_cpu_blocks = num_cpu_blocks

        [IF_MASK]
            print(f""before init cache memory allocated: {torch.cuda.memory_allocated() / 1e9}GB, reserved: {torch.cuda.memory_reserved() / 1e9}GB"")
        self.worker.initialize_cache(num_gpu_blocks=num_gpu_blocks, num_cpu_blocks=num_cpu_blocks)
        if torch.distributed.get_rank() == 0:
            print(f""after init cache memory allocated: {torch.cuda.memory_allocated() / 1e9}GB, reserved: {torch.cuda.memory_reserved() / 1e9}GB"")",false,        if torch.distributed.get_rank() == 0:,ĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ name : ( self . is _ key ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ):,100.0
"def validate_dimensions(dimension: Union[int, float], attribute_name: str) -> int:
    
    dimension = int(dimension)
    [IF_MASK]
        raise ValueError(f""The '{attribute_name}' must be a multiple of 64."")
    return dimension",false,    if dimension <= 0 or dimension % 64 != 0:,"ĠĠĠ Ġif Ġnot Ġisinstance ( name , Ġbasestring ): Ġin Ġlen ( name , Ġ"" name '): ): ): ): ): ): ): ): ): ): ( name '): ): ( name '): ): ( name '): ): ( name",100.0
"def _format_comment_body(self, comment: GitHubPRComment) -> str:
        
        body = comment.comment_body

        # Add code snippet reference if provided
        [IF_MASK]
            body += f""\n\n```\n{comment.code_snippet}\n```""

        # Add suggestion if provided
        if comment.suggestion:
            body += f""\n\n```suggestion\n{comment.suggestion}\n```""

        return body",false,        if comment.code_snippet:,ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ name ): ): ): ): . is _ name ): ( self . is _ name ): ): ): ):,100.0
"def _save_credentials(self) -> None:
        
        [IF_MASK]
            logger.error(f""Attempted to save null credentials for user {self.user_morphik_id}."")
            return

        creds_path = self._get_user_credentials_path()
        try:
            with open(creds_path, ""w"") as creds_file:
                json.dump(self.credentials, creds_file)
            logger.info(f""Successfully saved Zotero credentials for user {self.user_morphik_id}"")
        except Exception as e:
            logger.error(f""Failed to save Zotero credentials for user {self.user_morphik_id}: {e}"")",false,        if not self.credentials:,ĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ id : ( self . is _ id ): ): ): ): ): ): ): ): ): ): ): ): ( self . is _ id ): ): ): ): ): ): ): ): ):,100.0
"def extract_json_from_response(content: str) -> dict | None:
    
    try:
        json_start = content.find(""```json"")
        [IF_MASK]
            json_text = content[json_start + 7 :]  # Skip past ```json
            json_end = json_text.find(""```"")
            if json_end != -1:
                json_text = json_text[:json_end].strip()
                return json.loads(json_text)
    except Exception as e:
        print(f""Error extracting JSON from response: {e}"")
    return None",false,        if json_start != -1:,ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ key ): : ): : : : Ġand Ġnot Ġin Ġ0 : : : : : : : : : : : : :,100.0
"def normalize_pandas(obj):
    
    [IF_MASK]
        return obj.tolist()
    elif isinstance(obj, pd.DataFrame):
        return obj.to_dict(""records"")
    elif isinstance(obj, dict):
        return {k: normalize_pandas(v) for k, v in obj.items()}
    elif isinstance(obj, (list, tuple)):
        return [normalize_pandas(item) for item in obj]
    return obj",false,"    if isinstance(obj, pd.Series):","ĠĠĠ Ġif Ġnot Ġisinstance ( value , Ġ( x , Ġ"" data '): 1 ): 1 ): 0 . is _ name ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ):",100.0
"def get_client_and_project():
        
        is_dev_mode = os.getenv(""isDevelopmentMode"", ""enabled"") == ""enabled""
        [IF_MASK]
            return None, None

        project_id = os.environ.get(""GCP_PROJECT"")
        if not project_id:
            raise HTTPException(
                status_code=500, detail=""GCP_PROJECT environment variable is not set""
            )

        try:
            client = secretmanager.SecretManagerServiceClient()
            return client, project_id
        except Exception as e:
            raise HTTPException(
                status_code=500,
                detail=f""Failed to initialize Secret Manager client: {str(e)}"",
            )",false,        if is_dev_mode:,"ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self , Ġ' id '): id '): id '): id '): id '): id '): id '): id '): id '): id '): id '): id '): id '): is _ id '): '): '): '): '): '): '):",100.0
"def is_fastTrack_eligible(self):
        
        [IF_MASK]
            logger.debug(""Fast track not eligible: context_url present"")
            return False
        if (len(self.handler.prev_queries) > 0):
            logger.debug(f""Fast track not eligible: {len(self.handler.prev_queries)} previous queries present"")
            return False
        logger.info(""Query is eligible for fast track"")
        return True",false,        if (self.handler.context_url != ''):,ĠĠĠĠĠĠĠ Ġif Ġself . is _ name : ( self . is _ name ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ):,100.0
"def load_server_config(cls) -> Dict[str, MCPServerConfig]:
        
        config_path = PROJECT_ROOT / ""config"" / ""mcp.json""

        try:
            config_file = config_path if config_path.exists() else None
            [IF_MASK]
                return {}

            with config_file.open() as f:
                data = json.load(f)
                servers = {}

                for server_id, server_config in data.get(""mcpServers"", {}).items():
                    servers[server_id] = MCPServerConfig(
                        type=server_config[""type""],
                        url=server_config.get(""url""),
                        command=server_config.get(""command""),
                        args=server_config.get(""args"", []),
                    )
                return servers
        except Exception as e:
            raise ValueError(f""Failed to load MCP server config: {e}"")",false,            if not config_file:,"ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( path , Ġ' id '): path '): path '): '): path '): path '): '): path '): path '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '):",100.0
"def set_default_attn_processor(self):
        
        [IF_MASK]
            proc.__class__ in ADDED_KV_ATTENTION_PROCESSORS
            for proc in self.attn_processors.values()
        ):
            processor = AttnAddedKVProcessor()
        elif all(
            proc.__class__ in CROSS_ATTENTION_PROCESSORS
            for proc in self.attn_processors.values()
        ):
            processor = AttnProcessor()
        else:
            raise ValueError(
                f""Cannot call `set_default_attn_processor` when attention processors are of type {next(iter(self.attn_processors.values()))}""
            )

        self.set_attn_processor(processor, _remove_lora=True)",false,        if all(,ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ name : ( self . is _ name ): ): ): ): ): ): ): ): ): : ): ): : ): : ): ): : ): ): : ): ): :,100.0
"def state(self, value: JobStateEnum) -> None:
        
        [IF_MASK]
            logger.error(f""Attempt to change state from {self._state.name} to {value.name} denied."")
            raise ValueError(f""Cannot change state from {self._state.name} to {value.name}."")
        if value.value < self._state.value:
            logger.error(f""Invalid state transition attempt from {self._state.name} to {value.name}."")
            raise ValueError(f""State can only transition forward, from {self._state.name} to {value.name} not allowed."")
        self._state = value",false,        if self._state in _TERMINAL_STATES:,"ĠĠĠĠĠĠĠ Ġif Ġself ._ name : name Ġ== Ġ' name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "":",100.0
"def _get_hash(identifier: str) -> str:
        
        identifier = identifier.lower().strip()
        [IF_MASK]
            # Hash functions have to take bytes
            identifier = identifier.encode('utf-8')

        hash_value = sha256(identifier).hexdigest()
        return f""{hash_value}_{len(identifier)}""",false,"        if isinstance(identifier, str):","ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( value , Ġ' value '): value '): value '): value '): value '): value '): value '): value '): value '): value '): value '): value '): value '): value '): value '): value '): value '): value '): value",100.0
"def is_valid_tool_call_item(call_item: dict) -> bool:
    
    [IF_MASK]
        return False

    if set(call_item.keys()) - {""name"", ""arguments""}:  # noqa: SIM103
        return False

    return True",false,"    if ""name"" not in call_item or not isinstance(call_item[""name""], str):",ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . name ): ): ): 1 _ name ): ): ): : ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ):,100.0
"def _handle_content(self, content):
        
        [IF_MASK]
            text = content.get(""text"", """")
            if text == ""<DONE>"":
                return
            logger.info(f""Assistant: {text}"")",false,"        if content.get(""type"") == ""text"":","ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ type , Ġ"" text '):",100.0
"def add_prompt(self, prompt: Prompt) -> Prompt:
        
        logger.debug(f""Adding prompt: {prompt.name}"")
        existing = self._prompts.get(prompt.name)
        [IF_MASK]
            if self.warn_on_duplicate_prompts:
                logger.warning(f""Prompt already exists: {prompt.name}"")
            return existing
        self._prompts[prompt.name] = prompt
        return prompt",false,        if existing:,ĠĠĠĠĠĠĠ Ġif Ġself ._ name : name : name : name : name : name : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 :,100.0
"def _create_visualizations(self):
        
        [IF_MASK]
            logger.warning(""Matplotlib not available, skipping visualization creation"")
            return

        if not self.study or len(self.study.trials) < 2:
            logger.warning(""Not enough trials to create visualizations"")
            return

        # Create directory for visualizations
        viz_dir = os.path.join(self.output_dir, ""visualizations"")
        os.makedirs(viz_dir, exist_ok=True)

        # Create Optuna visualizations
        self._create_optuna_visualizations(viz_dir)

        # Create custom visualizations
        self._create_custom_visualizations(viz_dir)

        logger.info(f""Visualizations saved to {viz_dir}"")",false,        if not PLOTTING_AVAILABLE:,ĠĠĠĠĠĠĠ Ġif Ġnot Ġself ._ path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path .,100.0
"def delete_all_output_files() -> bool:
    
    try:
        for filename in os.listdir(OUTPUTS_DIR):
            [IF_MASK]
                file_path = os.path.join(OUTPUTS_DIR, filename)
                os.remove(file_path)
        return True
    except Exception as e:
        print(f""Error deleting output files: {e}"")
        return False",false,            if any(filename.endswith(ext) for ext in AUDIO_FORMATS):,ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġos . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path .,100.0
"def _respect_rate_limit(self):
        
        current_time = time.time()
        time_since_last_request = current_time - self.last_request_time

        [IF_MASK]
            wait_time = self.delay_between_requests - time_since_last_request
            logger.info(f""Rate limiting: waiting {wait_time:.2f} seconds"")
            time.sleep(wait_time)

        self.last_request_time = time.time()",false,        if time_since_last_request < self.delay_between_requests:,ĠĠĠĠĠĠĠ Ġif Ġself . is _ user : ): ( self . get _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user _ user,100.0
"def _cleanup_existing_alembic(self) -> None:
        
        # logger.info(""Cleaning up existing Alembic configuration..."")

        # Remove entire alembic directory if it exists
        [IF_MASK]
            import shutil

            shutil.rmtree(self.alembic_dir)
            logger.info(f""Removed alembic directory: {self.alembic_dir}"")

        # Remove alembic.ini if it exists
        if self.alembic_ini_path.exists():
            self.alembic_ini_path.unlink()
            logger.info(""Removed alembic.ini"")",false,        if self.alembic_dir.exists():,ĠĠĠĠĠĠĠ Ġif Ġself . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path,100.0
"def _format_server_info(self, server_name: str) -> str:
        
        server_config = self.server_registry.get_server_config(server_name)
        server_str = f""Server Name: {server_name}""
        [IF_MASK]
            return server_str

        description = server_config.description
        if description:
            server_str = f""{server_str}\nDescription: {description}""

        return server_str",false,        if not server_config:,"ĠĠĠĠĠĠĠ Ġif Ġself . is _ name : ( self . name , Ġ' name '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '):",100.0
"def format_question(category: str, question: str, answer: str) -> Dict[str, Any]:
    
    # Basic sanity checks
    [IF_MASK]
        raise ValueError(f""Empty question or answer in {category}"")
        
    return {
        ""id"": f""{category}_{random.getrandbits(32):08x}"",
        ""category"": category,
        ""question"": clean_text(question),
        ""answer"": clean_text(answer),
        ""metadata"": {
            ""source"": SOURCES[category][""name""],
            ""type"": category,
            ""difficulty"": ""challenging""  # All examples are chosen to be challenging
        }
    }",false,    if not question or not answer:,"ĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ name ): ( self . is _ name ): ): ): ): ( self . is _ name , Ġ"" id "":",100.0
"def get_tool(self, key: str) -> Tool:
        
        [IF_MASK]
            return self._tools[key]
        raise NotFoundError(f""Unknown tool: {key}"")",false,        if key in self._tools:,"ĠĠĠĠĠĠĠ Ġif Ġnot Ġself ._ is _ name : ( self ._ name , Ġ' name '): ): ): ): ): ): ( self ._ name '): '): ( self ._ name '): 1 ): 1 ): ( self ._ name '): 1 ): 1 ): 1 ):",100.0
"def stable_serialize(obj: Any) -> Any:
    
    [IF_MASK]
        return {k: stable_serialize(v) for k, v in sorted(obj.items())}
    elif isinstance(obj, (list, tuple)):
        return [stable_serialize(x) for x in obj]
    elif isinstance(obj, (str, int, float, bool, type(None))):
        return obj
    else:
        return str(obj)",false,"    if isinstance(obj, dict):","ĠĠĠ Ġif Ġnot Ġisinstance ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x , Ġ( x",100.0
